entity_id,state,last_changed
sensor.waermepumpe_positive_active_energy_total,19433236.5,2024-12-31T23:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19433623.9,2025-01-01T00:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19435945.9,2025-01-01T01:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19436449.4,2025-01-01T02:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19438615.9,2025-01-01T03:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19440777.5,2025-01-01T04:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19441930.1,2025-01-01T05:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19444260.2,2025-01-01T06:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19446706,2025-01-01T07:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19447798.1,2025-01-01T08:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19448282.6,2025-01-01T09:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19448282.6,2025-01-01T10:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19448745.1,2025-01-01T11:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19448918.3,2025-01-01T12:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19448918.4,2025-01-01T13:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19449903.2,2025-01-01T14:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19450390.4,2025-01-01T15:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19450968.5,2025-01-01T16:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19453656.8,2025-01-01T17:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19456058.3,2025-01-01T18:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19457077.8,2025-01-01T19:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19459621.1,2025-01-01T20:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19461418.6,2025-01-01T21:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19463310.8,2025-01-01T22:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19463983.8,2025-01-01T23:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19465806.6,2025-01-02T00:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19466155.8,2025-01-02T01:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19468062.5,2025-01-02T02:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19468396.4,2025-01-02T03:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19470216.1,2025-01-02T04:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19472548.3,2025-01-02T05:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19473494.4,2025-01-02T06:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19474874.4,2025-01-02T07:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19476561.7,2025-01-02T08:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19477071.8,2025-01-02T09:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19477432,2025-01-02T10:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19479656.9,2025-01-02T11:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19481826.8,2025-01-02T12:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19482195.7,2025-01-02T13:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19485296.7,2025-01-02T14:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19488934.6,2025-01-02T15:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19490425,2025-01-02T16:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19494133.7,2025-01-02T17:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19496772.3,2025-01-02T18:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19497681.6,2025-01-02T19:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19499919,2025-01-02T20:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19501838,2025-01-02T21:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19502261.5,2025-01-02T22:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19502261.5,2025-01-02T23:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19630662.6,2025-01-06T10:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19631548.7,2025-01-06T11:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19631548.7,2025-01-06T12:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19632781.4,2025-01-06T13:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19632837.5,2025-01-06T14:00:00.000Z
sensor.waermepumpe_positive_active_energy_total,19634656.8,2025-01-06T15:00:00.000Z
